OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,Notes,Tissue_Sample,Hind_Limb_Length,Foot_Width,Wrist_Width,Forelimb_Length_Nail_to_Elbow,Bolea_Head_Width,Maxillary_Head_Width,Head_Length,Finger_Length,Hand_Width,Ear_Length_Notch,Toe_Length,Foot_Length,Tail_Length,Body_Length,Reproductive_Stage,Sex,Life_Stage,Weight_Animal_Only,Weight_Bag_Animal,Species,Genus,Tag,YN_Recapture,YN_Animal,LOC,DT,esrignss_speed,esrignss_direction,esrisnsr_azimuth,esrignss_positionsourcetype,esrignss_receiver,esrignss_h_rms,esrignss_v_rms,esrignss_latitude,esrignss_longitude,esrignss_altitude,esrignss_pdop,esrignss_hdop,esrignss_vdop,esrignss_fixtype,esrignss_correctionage,esrignss_stationid,esrignss_numsats,esrignss_fixdatetime,esrignss_avg_h_rms,esrignss_avg_v_rms,esrignss_avg_positions,esrignss_h_stddev,NOTES,Foot_mm,Subspecies_Code,Species_Code,Tripped_Trap_y_n,Bait_Stolen_y_n,Recap_y_n,Animal_y_n,date_time,KRAT_Forelimb_Width_mm,esrignss_orthometric_height,esrignss_correction_source_type,esrignss_correction_source_name,esrignss_ntrip_mount_point,esrignss_antenna_height,esrignss_receiver_gcs,esrignss_receiver_gcs_wkid,esrignss_receiver_ref_epoch,esrignss_profile_has_hor_xform,esrignss_profile_hor_xform,esrignss_receiver_geoid,esrignss_h_95_status,esrignss_custom_attributes,Date_and_time,Weight_bag_only,Teeth
164,{EB3440E3-55CA-43C1-9E35-9259CD5ABEAF},2025-10-18T16:31:20Z,rmcrowle@ucsc.edu_UCSC,2025-10-18T16:35:57Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,188,115,NA,NA,NA,NA,NA,NA,Di,111,NA,NA,FONR,NA,0,0,279.0647718449634,2,Samsung SM-A716U,2.82,3.29,36.66637428333333,-121.7656266,13.7,0.9,0.6,0.7,1,NA,NA,21,2025-10-18T16:28:00Z,NA,NA,NA,NA,NA,44,NA,He,no,no,yes,yes,2025-10-18T16:28:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,{BBD6D5CC-8CDE-41DF-80A9-E1A5D63D0BD0},2025-10-18T16:50:15Z,rmcrowle@ucsc.edu_UCSC,2025-10-18T16:50:15Z,rmcrowle@ucsc.edu_UCSC,"Sample: 20
Forelimb length: 33.53
Head Width b: 21.99
Extra finger/claw on front and hind limbs
Black facial marks contiguous/continuous
Head seemed narrower than usual",NA,47.5,4.83,3.52,NA,NA,15.82,41.65,8,7,18,14,NA,202,110,Unknown,Female,Adult,67,NA,NA,Di,118,NA,NA,FONR,NA,0,0,255.0710412907607,2,Samsung SM-A716U,2.82,3.29,36.66633936666667,-121.7655512333333,9.299999999999997,0.9,0.6,0.7,1,NA,NA,21,2025-10-18T16:37:21Z,NA,NA,NA,NA,NA,41,NA,He,no,no,no,yes,2025-10-18T16:37:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,{5EABB43D-2206-4ACC-98A1-C9F1FB3B79B2},2025-10-18T17:05:11Z,rmcrowle@ucsc.edu_UCSC,2025-10-18T17:05:11Z,rmcrowle@ucsc.edu_UCSC,"Forelimb length: 33.68mm
Head Width pm: 23.82mm
Head Width b: 23.04mm
Sample #: 25
Very strong light patches above eye
Black tail had two black strips",NA,48.45,4.63,3.2,NA,NA,NA,44.2,8,7,16,14,44,194,103,NA,Female,Adult,89 - 18,NA,NA,Di,117,NA,NA,FONR,NA,0,0,336.3577014616146,2,Samsung SM-A716U,2.82,3.29,36.66723401666666,-121.7661409333333,7.299999999999997,0.9,0.6,0.7,1,NA,NA,22,2025-10-18T16:56:10Z,NA,NA,NA,NA,NA,NA,NA,He,yes,no,no,yes,2025-10-18T16:56:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,{8BA7AB7E-F1E5-475A-B0A1-65B73EF5C0DB},2025-10-18T17:27:30Z,rmcrowle@ucsc.edu_UCSC,2025-10-18T17:27:30Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,NA,Di,122,NA,NA,FONR,NA,0,0,138.9140812266335,2,Samsung SM-A716U,2.35,3.29,36.68751131666667,-121.7796006166667,3.800000000000001,0.9,0.5,0.7,1,NA,NA,24,2025-10-18T17:26:59Z,NA,NA,NA,NA,NA,NA,NA,He,NA,NA,yes,NA,2025-10-18T17:27:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,{40B82B91-8F47-4644-8900-8FFDED046EE3},2025-10-18T17:44:25Z,rmcrowle@ucsc.edu_UCSC,2025-10-18T17:44:25Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Di,121,NA,NA,FONR,NA,0.2015114437881646,-1,52.25909805297852,2,iPhone 13 Pro,6.542565644845835,3.929299130785964,36.68752484973338,-121.7802865552578,37.0160842705518,NA,NA,NA,NA,NA,NA,NA,2025-10-18T17:40:30Z,NA,NA,NA,NA,NA,NA,NA,He,yes,no,yes,yes,2025-10-18T17:40:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,{FD2D5FE8-BDCB-4492-855D-13D48BE32D10},2025-10-18T18:11:02Z,rmcrowle@ucsc.edu_UCSC,2025-10-18T18:11:02Z,rmcrowle@ucsc.edu_UCSC,"Forelimb length: 34.99mm
Head width pm: 24.68
Head width b: 20.49
Sample ran away",NA,44.36,4.99,2.83,NA,NA,NA,42.67,8,6,15,13,40,204,104,Not Reproductive,Female,Adult,78 - 12,NA,NA,Di,116,NA,NA,FONR,NA,0,189.9882517411885,291.9158020019531,2,iPhone 13 Pro,4.91473520043367,3.90737213644317,36.68751021384634,-121.780288133438,37.37569722440094,NA,NA,NA,NA,NA,NA,NA,2025-10-18T17:49:10Z,NA,NA,NA,NA,NA,NA,NA,He,yes,no,no,yes,2025-10-18T17:59:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,{E351002D-7BFA-4018-9761-38A378B9B1A2},2025-10-19T14:35:52Z,jotmille_UCSC,2025-10-19T14:35:52Z,jotmille_UCSC,Tissue #19,NA,43.05,5.2,2.61,NA,19.6,16.88,41.97,7,7,16,13,NA,190,106,NA,NA,Adult,81-,NA,NA,Di,992,NA,NA,FONR,NA,0.6404127851040811,164.4192497453132,102.9452514648438,2,iPhone 15 Pro Max,3.71320840105061,3.140149361521906,36.6874422675652,-121.779456503098,33.40942751429975,NA,NA,NA,NA,NA,NA,NA,2025-10-19T14:28:46Z,NA,NA,NA,NA,NA,41,NA,He,NA,NA,NA,NA,2025-10-19T14:28:47Z,Length 30.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,{F756D7E1-74B6-48ED-AA47-211BDDA36FF8},2025-10-19T14:51:32Z,jotmille_UCSC,2025-10-19T14:51:32Z,jotmille_UCSC,NA,NA,46.79,4.76,2.71,NA,20.44,23.52,41.17,9,7,14,12,NA,191,110,NA,Female,Adult,84-19=65,NA,NA,Di,978,NA,NA,FONR,NA,0,-1,224.4320068359375,2,iPhone 15 Pro Max,4.166553510922277,3,36.6876660851677,-121.7803928101249,33.06060658860952,NA,NA,NA,NA,NA,NA,NA,2025-10-19T14:44:28Z,NA,NA,NA,NA,NA,40,NA,He,NA,NA,NA,yes,2025-10-19T14:44:31Z,Length 30.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,{AC65D88D-C677-4BDA-AFB8-B733EEA3F9CD},2025-10-19T15:03:55Z,jotmille_UCSC,2025-10-19T15:03:55Z,jotmille_UCSC,NA,NA,49.11,5.41,3.18,NA,23.01,24.05,42.53,8,8,16,12,NA,203,120,NA,Female,NA,100-22=78,NA,NA,di,951,NA,NA,FONR,NA,0.6053696393966674,-1,107.2394485473633,2,iPhone 15 Pro Max,7.119590140701342,3,36.68748540929324,-121.7803943822532,36.72257782779836,NA,NA,NA,NA,NA,NA,NA,2025-10-19T14:55:33Z,NA,NA,NA,NA,NA,42,NA,He,NA,NA,NA,yes,2025-10-19T14:55:35Z,32.55 length,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,{4228C5A7-4E4C-4A8C-8D1D-5B9B788B9F59},2025-10-19T16:16:17Z,jotmille_UCSC,2025-10-19T16:16:17Z,jotmille_UCSC,NA,NA,46.48,5.55,3.04,NA,22.59,17.12,42.57,7,7,15,12,NA,186,108,NA,Female,Adult,86-,NA,NA,Di,982,NA,NA,FONR,NA,0,-1,251.4042358398438,2,iPhone 15 Pro Max,6.528857432424358,3,36.66312009771188,-121.7535108105976,47.02528760954738,NA,NA,NA,NA,NA,NA,NA,2025-10-19T16:16:07Z,NA,NA,NA,NA,NA,42,NA,He,NA,NA,NA,yes,2025-10-19T16:09:41Z,Length 31.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,{F548107E-574E-46AA-B984-E5ED096D15C8},2025-10-19T16:26:04Z,jotmille_UCSC,2025-10-19T16:26:04Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Di,119,NA,NA,FONR,NA,0.7568726599216461,-1,347.323974609375,2,iPhone 15 Pro Max,4.379279771512661,3,36.66270063379185,-121.7528659164464,49.31815780568507,NA,NA,NA,NA,NA,NA,NA,2025-10-19T16:25:37Z,NA,NA,NA,NA,NA,NA,NA,He,NA,NA,yes,yes,2025-10-19T16:25:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,{C733DD13-F235-460A-B614-7D04F4B798CF},2025-10-19T16:46:18Z,jotmille_UCSC,2025-10-19T16:46:18Z,jotmille_UCSC,NA,NA,45.6,5.09,2.7,NA,20.15,26.01,44.93,7,6,16,14,NA,199,110,NA,Female,Adult,88-,NA,NA,Di,946,NA,NA,FONR,NA,0.3354570180675239,-1,11.09484672546387,2,iPhone 15 Pro Max,4.99322700443733,3,36.66651110874065,-121.7658456255575,44.71940512210131,NA,NA,NA,NA,NA,NA,NA,2025-10-19T16:46:12Z,NA,NA,NA,NA,NA,43,NA,He,NA,NA,NA,yes,2025-10-19T16:38:25Z,Length 31.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,{32F48946-E3E0-4EF8-B02B-9BCE4C0FE0DC},2025-10-19T16:46:45Z,jotmille_UCSC,2025-10-19T16:46:45Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Di,111,NA,NA,FONR,NA,0,-1,15.17422771453857,2,iPhone 15 Pro Max,5.0997070334730346,3,36.66651477046535,-121.7658473826022,44.71075011231005,NA,NA,NA,NA,NA,NA,NA,2025-10-19T16:46:20Z,NA,NA,NA,NA,NA,NA,NA,He,NA,NA,yes,yes,2025-10-19T16:46:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,{60552B21-629F-4534-B872-6AAC6071B873},2025-10-19T16:47:07Z,jotmille_UCSC,2025-10-19T16:47:07Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Di,118,NA,NA,FONR,NA,0,-1,25.3099536895752,2,iPhone 15 Pro Max,5.604384704156377,3,36.66650834120809,-121.7658397350478,44.62534949276596,NA,NA,NA,NA,NA,NA,NA,2025-10-19T16:46:48Z,NA,NA,NA,NA,NA,NA,NA,He,NA,NA,yes,yes,2025-10-19T16:46:50Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,{9185CAF5-749F-4BBE-A1E1-9AE8C0650EB0},2025-10-19T16:49:49Z,jotmille_UCSC,2025-10-19T16:49:49Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Di,117,NA,NA,FONR,NA,2.389708113670336,36.23818256463844,262.5702209472656,2,iPhone 15 Pro Max,4.74865153019176,3.177796772398057,36.66723044182828,-121.76607994995,44.89072242937982,NA,NA,NA,NA,NA,NA,NA,2025-10-19T16:48:54Z,NA,NA,NA,NA,NA,NA,NA,He,NA,NA,yes,yes,2025-10-19T16:49:19Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,{B17F86DB-0716-47DC-97A0-B9A807DA8020},2026-06-30T16:37:50Z,jotmille_UCSC,2026-06-30T16:37:50Z,jotmille_UCSC,NA,NA,43.98,5.06,3.30,30.21,15.04,22.15,38.87,7,5,13,13,43,171,94,non-reproductive,Female,Juvinile,NA,72,He,Di,F079,No,No,South Grassland,NA,0,-1,265.2960815429688,2,iPad mini 6,4.742701908721997,4.029364438188564,36.66344033977877,-121.753410055207,49.94502260256559,NA,NA,NA,NA,NA,NA,NA,2026-06-30T16:37:50Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-06-30T16:42:25Z,14,NA
2,{99775DEF-89B0-4618-9F5D-6D5F644A8AB1},2026-06-30T17:07:11Z,jotmille_UCSC,2026-06-30T17:07:11Z,jotmille_UCSC,NA,NA,42.36,4.75,2.84,32.63,20.6,22.13,42.07,7,5,16,11,41,189,102,lactating,Female,Adult,66,80,He,Di,F023,No,No,A4 south transition,NA,0.547612881870368,273.5514863653071,279.1614990234375,2,iPad mini 6,4.570449700506169,3.886326745036332,36.6650602853211,-121.7547549409236,45.2658422132954,NA,NA,NA,NA,NA,NA,NA,2026-06-30T17:07:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-06-30T17:07:12Z,14,NA
3,{81CB68F0-D705-41F6-A104-75F76C773A02},2026-06-30T17:45:00Z,jotmille_UCSC,2026-06-30T17:45:00Z,jotmille_UCSC,NA,NA,41.53,4.86,2.92,30.22,20.43,20.15,38.42,8,7,15,14,44,153,101,non-reproductive,Female,Juvinile,46,72,He,Di,F002,No,No,E2 south transition,NA,0,218.2254925699435,80.91785430908203,2,iPad mini 6,2.674568448653164,3,36.66533377459275,-121.7548841947634,45.64067974314094,NA,NA,NA,NA,NA,NA,NA,2026-06-30T17:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-06-30T17:45:02Z,26,NA
4,{C9A7B1A2-8C45-4016-BFAB-7F31DBA47999},2026-06-30T17:54:45Z,jotmille_UCSC,2026-06-30T17:54:45Z,jotmille_UCSC,Left foot is crushed old injury,NA,45.51,5.36,2.92,32.67,18.1,21.12,40.23,8,6,14,12,41,182,100,non-reproductive,Female,Juvinile,NA,75,He,Di,F003,No,No,G2 south transition,NA,0.3114173727978923,55.47447654722062,48.17577743530273,2,iPad mini 6,2.47652668362279,3,36.66549540321184,-121.7548377860084,45.67250843718648,NA,NA,NA,NA,NA,NA,NA,2026-06-30T17:54:45Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-06-30T17:55:09Z,NA,NA
5,{AA611655-4438-4932-AEBB-A163EF231831},2026-06-30T16:28:23Z,rmcrowle@ucsc.edu_UCSC,2026-06-30T16:28:23Z,rmcrowle@ucsc.edu_UCSC,NA,NA,45.67,5.10,2.97,34.46,18.53,22.33,44.6,6,5,15,11,41,199,104,lactating,Female,Adult,NA,88,HE,DI,F098,No,Yes,FONR,NA,0,0,164.5974503173356,2,Samsung SM-A716U,2.35,3.29,36.66341341666666,-121.75333405,15.2,0.8,0.5,0.7,1,NA,NA,24,2026-06-30T16:28:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-06-30T16:28:26Z,18,NA
6,{ED827535-E88A-4ADE-9E51-3120A86F090C},2026-07-01T17:00:00Z,jotmille_UCSC,2026-07-01T17:00:00Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,He,Di,F023,Yes,Yes,Fort ord,NA,0,346.5973570854387,62.70852279663086,2,iPad mini 6,2.762367286945365,3,36.66510086821271,-121.7547210284614,44.42529912665486,NA,NA,NA,NA,NA,NA,NA,2026-07-01T16:59:59Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-07-01T17:00:03Z,NA,NA
7,{C3F9AF32-536A-4A65-81CC-8E99208DEA15},2026-07-01T17:34:57Z,jotmille_UCSC,2026-07-01T17:43:04Z,jotmille_UCSC,Escapee,NA,45.63,5.06,3.57,32.15,20.41,NA,40.95,8,5,15,14,40,178,97,lactating,Female,Adult,60,80,He,Di,NA,No,Yes,Fonr,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-07-01T17:34:59Z,20,NA
8,{72E45701-EB46-4F0F-BDCA-7868AFA6AB74},2026-07-01T17:46:35Z,jotmille_UCSC,2026-07-01T17:46:35Z,jotmille_UCSC,NA,NA,45.78,5.19,3.52,33.91,NA,NA,43.21,7,6,15,11,43,191,97,lactating,Female,Adult,70,90,He,Di,F067,No,Yes,FONR,NA,0,304.2355346338953,39.16730880737305,2,iPad mini 6,2.496576737206366,3,36.66316947515346,-121.7534993023871,50.41453220136464,NA,NA,NA,NA,NA,NA,NA,2026-07-01T17:46:34Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-07-01T17:46:39Z,20,NA
9,{3B3D1C87-578F-4094-968C-543E8757A2F1},2026-07-01T17:59:19Z,jotmille_UCSC,2026-07-01T17:59:19Z,jotmille_UCSC,NA,NA,44.05,5.09,3.40,31.56,23.67,23.32,41.84,8,5,13,14,41,174,90,non-reproductive,Female,Adult,55,90,He,Di,F083,No,Yes,FORN,NA,0,-1,267.0564270019531,2,iPad mini 6,3.37919394070195,3,36.66326471014672,-121.7533984273949,49.42250061035156,NA,NA,NA,NA,NA,NA,NA,2026-07-01T17:59:19Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-07-01T17:59:21Z,35,NA
10,{DF5D5FAC-605E-47FA-B7D3-018F24660BC7},2026-07-02T16:10:02Z,jotmille_UCSC,2026-07-02T16:10:02Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,He,Di,821,Yes,Yes,FONR,NA,0,-1,265.8801574707031,2,iPad mini 6,4.748651530191762,4.029364438188565,36.66518003217578,-121.7547675782086,42.95222475193441,NA,NA,NA,NA,NA,NA,NA,2026-07-02T16:10:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-07-02T16:10:03Z,NA,NA
11,{EA7FBC31-D3C2-462E-9F83-B2CA462FFAD9},2026-07-02T16:34:32Z,jotmille_UCSC,2026-07-02T16:34:32Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,He,Di,F003,Yes,No,FONR,NA,0.1882745319918644,352.4854270628808,174.2504730224609,2,iPad mini 6,3.604879695562877,3.141295880221363,36.66546151830091,-121.7549302194861,44.83781185653061,NA,NA,NA,NA,NA,NA,NA,2026-07-02T16:34:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-07-02T16:34:35Z,NA,NA
12,{F568401D-4FAD-4B87-8AAE-073FBF12FBA6},2026-07-02T17:16:06Z,jotmille_UCSC,2026-07-02T17:16:06Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,He,Di,F098,Yes,Yes,FONR,NA,0.30340240828253767,299.1040708374111,280.995849609375,2,iPad mini 6,2.547609614866193,3,36.66330433864304,-121.753378503263,50.85676370002329,NA,NA,NA,NA,NA,NA,NA,2026-07-02T17:16:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-07-02T17:16:08Z,NA,NA
13,{499B5A2E-E485-40D9-A130-13B74EF7C698},2026-07-02T17:20:56Z,jotmille_UCSC,2026-07-02T17:20:56Z,jotmille_UCSC,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,He,Di,F079,No,Yes,FONR,NA,0,104.4667803039484,125.3717727661133,2,iPad mini 6,4.874336001231185,4.115368083177699,36.66346709807966,-121.7534459651812,48.87988656014204,NA,NA,NA,NA,NA,NA,NA,2026-07-02T17:20:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-07-02T17:21:05Z,NA,NA
14,{B38C1633-E4E5-4829-B456-A734E01F118B},2026-07-01T16:40:25Z,jotmille_UCSC,2026-07-01T16:40:25Z,jotmille_UCSC,NA,NA,49.31,5.88,3.31,34.35,24.52,25.3,45.78,7,7,16,14,42,199,107,reproductive,Male,Adult,90,105,He,Di,821,No,No,FONR,NA,0.255575999997792,247.638,312.8309902145533,2,Samsung SM-X200,2.8811,4.8739,36.66516121666668,-121.7546979833333,7.783,1.204,0.613,1.037,1,NA,NA,20,2026-07-01T16:40:24Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2026-07-01T16:40:26Z,15,NA
15,{11A61E0E-F758-4D15-9B90-CEB8D0F17676},2026-07-02T14:54:53Z,jotmille_UCSC,2026-07-02T14:54:53Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,1.774215999984672,59.508,282.3245820791896,2,Samsung SM-X200,3.243,4.7658,36.68602368333332,-121.7761519833333,2.032,1.227,0.69,1.014,1,NA,NA,18,2026-07-02T14:54:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
16,{B2684429-93FC-4224-BD8D-24A33027B58B},2026-07-02T16:07:45Z,jotmille_UCSC,2026-07-02T16:07:45Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F0323,Yes,No,NA,NA,0,105.956,74.55181531901269,2,Samsung SM-X200,2.6837,5.113600000000001,36.66512765,-121.7548538,15.748,1.229,0.571,1.088,1,NA,NA,19,2026-07-02T16:07:50Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
